Content Type ,Page URL ,Page Title ,Center or Team,Topics,Tags,Collections,Events,Regions,DELETE,UUID
Video,https://milkeninstitute.org/videos/part-3-walking-drug-pricing-tightrope-fostering-innovation-while-maintaining-affordability,Part 3 | Walking the Drug-Pricing Tightrope: Fostering Innovation While Maintaining Affordability,FasterCures,,"Medical Research, Health and Wellness, Policy and Regulation",,Future of Health Summit,,,0fcb2a41-ead1-4f73-b5df-dc9c25d559da
Video,https://milkeninstitute.org/videos/part-1-conversation-bill-cassidy-md-us-senator-louisiana,"Part 1 | A Conversation with Bill Cassidy, MD, US Senator, Louisiana",FasterCures,,"Medical Research, Health and Wellness, Policy and Regulation",,Future of Health Summit,United States,,7862728b-5aef-4976-a53d-778712c056fa
Video,https://milkeninstitute.org/videos/sexual-reproductive-and-maternal-health-care-america,"Sexual, Reproductive, and Maternal Health Care in America",,,"Health and Wellness, Economic and Health Disparities",,Future of Health Summit,United States,,6ea37279-8032-4330-a367-874ed97b672b
Video,https://milkeninstitute.org/videos/gun-violence-public-health-crisis,Gun Violence as a Public Health Crisis,,,"Public Health, Health and Wellness, Mental Health",,Future of Health Summit,,,7418fc90-e120-4208-baf8-34e917fb0989
Video,https://milkeninstitute.org/videos/poised-break-bank-paying-chronic-disease,Poised to Break the Bank: Paying for Chronic Disease,,,"Public Health, Economic and Health Disparities, Finance, Economy, Health and Wellness",,Future of Health Summit,,,dd194465-649a-400d-96cb-0f508c9ddc76
Video,https://milkeninstitute.org/videos/reducing-cost-and-risk-dementia,Reducing the Cost and Risk of Dementia,Center for the Future of Aging,,"Brain Health, Aging, Health and Wellness",,Future of Health Summit,,,62c8f367-d930-43cd-98fe-abaf3d31097b
Video,https://milkeninstitute.org/videos/evening-plenary-part-1-conversation-economics-health-care-part-2-conversation-food-and,"Evening Plenary | Part 1: A Conversation on the Economics of Health Care | Part 2: A Conversation on Food and a Sustainable Future | Part 3: A Conversation with Chef JosÃ© AndrÃ©s, Founder, World Central Kitchen",,Feeding Change,"Food Systems, Health and Wellness, Philanthropy",,Future of Health Summit,,,508d5b66-9cc5-47cd-b464-9b387d574a9d
Video,https://milkeninstitute.org/videos/age-forward-2030-intersection-housing-health-care,Age-Forward 2030: The Intersection of Housing & Health Care,Center for the Future of Aging,,"Housing , Aging, Health and Wellness",,Future of Health Summit,,,f360fe18-1f53-4512-bc7b-8703197462b2
Video,https://milkeninstitute.org/videos/gut-feeling-food-microbiome-and-disease-prevention,"Gut Feeling: Food, Microbiome, and Disease Prevention",,,"Public Health, Health and Wellness",,Future of Health Summit,,,144c7a8a-f116-4cd4-81dd-3510098fc1f8
Video,https://milkeninstitute.org/videos/business-case-addressing-social-determinants-health,The Business Case for Addressing Social Determinants of Health,,,"Economic and Health Disparities, Health and Wellness, Public Health, Economy",,Future of Health Summit,,,7a8e2953-3afa-40cb-9367-c985daa0d2bc
Video,https://milkeninstitute.org/videos/opioid-addiction-crisis-fueled-stigma,Opioid Addiction: A Crisis Fueled by Stigma,,Opioid Crisis Response,"Public Health, Mental Health, Brain Health, Health and Wellness",,Future of Health Summit,,,4439fe1f-7a58-40de-beab-c9c14e4e10a7
Video,https://milkeninstitute.org/videos/opening-plenary-part-1-conversation-maxine-waters-united-states-representative-california,"Opening Plenary | Part 1: A Conversation with Maxine Waters, United States Representative, California | Part 2: The Future of Brain Health",,Healthy Longevity,"Brain Health, Public Health",,Future of Health Summit,,,541fed0e-de72-4d59-8f9a-d74ce1525f69
Video,https://milkeninstitute.org/videos/lunch-program-part-1-conversation-alex-azar-secretary-us-department-health-and-human,"Lunch Program | Part 1: A Conversation with Alex Azar, Secretary, US Department of Health and Human Services | Part 2: Optimizing Health Through Food",,Feeding Change,"Public Health, Food Systems",,Future of Health Summit,,,9e0ead64-3fd4-4cfe-8a98-b10d10ec18f0
Article,https://milkeninstitute.org/articles/milken-institute-future-health-summit-opens-washington,Milken Institute Future of Health Summit opens in Washington,,,"Aging, Health and Wellness, Medical Research, Public Health",Newsroom,Future of Health Summit,,,c1480982-82d7-4071-9982-8eb5bdcd81f2
Article,https://milkeninstitute.org/articles/fintech-focus-october-28-2019,"FinTech in Focusâ€”October 28, 2019",Center for Financial Markets,FinTech in Focus,"Entertainment, FinTech, Cryptocurrency, Data Collection and Privacy",,,,,799f03bc-e1a6-43e9-ad0f-d09485486c2c
Article,https://milkeninstitute.org/articles/letter-milken-institute-community,Letter to the Milken Institute Community,,,,,,,,e190558e-8843-4033-9cdf-c3d695125345
Article,https://milkeninstitute.org/articles/jeb-hensarling-joins-milken-institute-senior-fellow,Jeb Hensarling joins Milken Institute as Senior Fellow,Center for Financial Markets,,Finance,Newsroom,,,,cad2127a-bb77-4cf9-8f0a-53972ab39191
Article,https://milkeninstitute.org/articles/statement-milken-institute-ceo-michael-klowden,Statement by Milken Institute CEO Michael Klowden,,,Finance,Newsroom,,,,f99279c0-3791-4245-a612-e3d04baee3c5
Report,https://milkeninstitute.org/reports/best-performing-cities-china-2019,Best-Performing Cities China 2019,Asia Center,,"Regional Competitiveness, Economy",,,"China, Asia",,2a92841d-8cd9-472d-b576-a780ee228473
Report,https://milkeninstitute.org/reports/reducing-cost-and-risk-dementia,Reducing the Cost and Risk of Dementia,Center for the Future of Aging,,"Brain Health, Aging, Caregiving, Economic and Health Disparities",,,,,231a57a6-2caf-45ee-9d84-76f746ac3561
Article,https://milkeninstitute.org/articles/chengdu-tops-milken-institute-best-performing-cities-china-index,Chengdu tops the Milken Institute Best-Performing Cities China Index,Asia Center,,"Regional Competitiveness, Economy",,,"China, Asia",,3c4bafd5-c1a2-494f-b8b1-4932688fc42e
Article,https://milkeninstitute.org/articles/milken-institute-projects-doubling-americans-living-dementia,Milken Institute projects doubling of Americans living with dementia,Center for the Future of Aging,,"Aging, Brain Health, Economic and Health Disparities",Newsroom,,,,8740ad46-dda3-467a-ab3a-a95cb773d274
Report,https://milkeninstitute.org/reports/age-forward-cities-2030,Age-Forward Cities for 2030,Center for the Future of Aging,Healthy Longevity,"Aging, Economy, Infrastructure, Housing ",,,,,1498b671-ef18-430c-8137-b28b84ead2e5
Report,https://milkeninstitute.org/reports/advancing-models-patient-engagement-patient-organizations-research-and-data-partners,Advancing Models of Patient Engagement: Patient Organizations as Research and Data Partners,FasterCures,TRAIN,"Medical Research, Health and Wellness, Patient-Centered Care, Data Collection and Privacy",TRAIN Toolkit,,,,c47457ad-4cf9-4ebc-9946-9268a25c5804
Article,https://milkeninstitute.org/articles/fintech-focus-october-21-2019,"FinTech in Focusâ€”October 21, 2019",Center for Financial Markets,FinTech in Focus,"Finance, FinTech, Cryptocurrency, Data Collection and Privacy",,,,,ea9de543-bdc9-4b87-b031-6ec95f78a9da
Report,https://milkeninstitute.org/reports/exploring-impact-21st-century-cures-act,Exploring the Impact of the 21st Century Cures Act,FasterCures,,Medical Research,,,,,c8f73f97-951a-4967-939c-2f5bb54df47d
Report,https://milkeninstitute.org/reports/primer-and-perspective-ginnie-mae,A Primer and Perspective on Ginnie Mae,Center for Financial Markets,,"Housing , Finance",,,,,94879658-b758-4a80-b60d-1c94df1086d3
Article,https://milkeninstitute.org/articles/changing-story-cancer-loss-hope,Changing the Story of Cancer: From Loss to Hope,,,"Medical Research, Health and Wellness, Drug Development",Power of Ideas,Future of Health Summit,,,475d9c00-0229-45aa-94c9-a984461e14df
Article,https://milkeninstitute.org/articles/untold-story-obesity-collaborating-across-sectors-make-care-happen,The Untold Story of Obesity: Collaborating Across Sectors to Make Care Happen,,Power of Ideas,Health and Wellness,Power of Ideas,Future of Health Summit,,,0b9162d5-1cad-405d-be77-52f72c5db973
Article,https://milkeninstitute.org/articles/collaborative-research-path-healthy-brains-all,Collaborative Research: The Path to â€œHealthy Brains for Allâ€ù,,Power of Ideas,"Brain Health, Mental Health, Medical Research",Power of Ideas,Future of Health Summit,,,8ca1649b-0292-42cb-914c-598caa87b71a
Article,https://milkeninstitute.org/articles/fintech-focus-october-14-2019,"FinTech in Focusâ€”October 14, 2019",Center for Financial Markets,FinTech in Focus,"FinTech, Cryptocurrency, Capital Markets, Finance",,,,,ba55faf9-b566-4074-a806-a13e405e2563
Article,https://milkeninstitute.org/articles/why-taking-chances-developing-rare-disease-medicines-worth-risk,Why Taking Chances in Developing Rare Disease Medicines Is Worth the Risk,,Power of Ideas,"Medical Research, Patient-Centered Care",Power of Ideas,Future of Health Summit,,,5a0dea87-88e2-4ed4-861c-6c94fbd7ed18
Article,https://milkeninstitute.org/articles/balancing-innovation-premium-quality-health-care-us,Balancing the Innovation Premium with the Quality of Health Care in the US,,Power of Ideas,"Health and Wellness, Policy and Regulation",Power of Ideas,Future of Health Summit,,,211c8f02-1a32-4d1f-b1d8-a7087288f5e8
Article,https://milkeninstitute.org/articles/prescription-brain-disease-research,A Prescription for Brain Disease Research,,Power of Ideas,"Brain Health, Patient-Centered Care, Medical Research",Power of Ideas,Future of Health Summit,,,030e6448-3d50-4e11-bdfb-229c1016b032
Article,https://milkeninstitute.org/articles/aligning-science-across-parkinsons-collaborative-model-accelerating-biomedical-research,Aligning Science Across Parkinsonâ€™s: A Collaborative Model for Accelerating Biomedical Research,Center for Strategic Philanthropy,Power of Ideas,"Philanthropy, Medical Research, Brain Health",Power of Ideas,,,,6e6d6557-a684-4c71-98df-889f32b50f50
Article,https://milkeninstitute.org/articles/ending-stigma-end-epidemic,Ending Stigma to End the Epidemic,,"Opioid Crisis Response, Power of Ideas","Health and Wellness, Mental Health, Brain Health",Power of Ideas,Future of Health Summit,,,6e3cddc6-abfd-4e8a-8713-64771c8b1228
Article,https://milkeninstitute.org/articles/power-partnership-accelerate-scientific-discovery,The Power of Partnership to Accelerate Scientific Discovery,,Power of Ideas,"Data Collection and Privacy, Technology, Health and Wellness",Power of Ideas,Future of Health Summit,,,c6d4697b-5298-4d41-8deb-f5a28076cfde
Article,https://milkeninstitute.org/articles/empowering-patient-centricity-future-health,Empowering Patient-Centricity for the Future of Health,,Power of Ideas,"Patient-Centered Care, Innovation, Health and Wellness",Power of Ideas,Future of Health Summit,,,fbe32cb6-6cf1-4b3e-af27-bceccac029c1
Article,https://milkeninstitute.org/articles/how-can-we-advance-scientific-knowledge-and-speed-development-cures,How Can We Advance Scientific Knowledge and Speed Up the Development of Cures?,,Power of Ideas,"Medical Research, Data Collection and Privacy, Technology",Power of Ideas,Future of Health Summit,,,c0384aff-faef-435c-a1e3-2cff1b0e7f6b
Article,https://milkeninstitute.org/articles/removing-barriers-aging-well,Removing Barriers to Aging Well,,Power of Ideas,"Aging, Public Health, Health and Wellness",Power of Ideas,Future of Health Summit,,,00708977-1baa-43ff-8152-312ace8b106d
Article,https://milkeninstitute.org/articles/lets-improve-diversity-cancer-clinical-trials,Letâ€™s Improve the Diversity of Cancer Clinical Trials,,Power of Ideas,"Medical Research, ""Diversity, Equity, and Inclusion""",Power of Ideas,Future of Health Summit,,,7285157d-cc63-45cb-b289-9c43e905dca1
Article,https://milkeninstitute.org/articles/true-patient-centricity-must-drive-accelerated-development-cures,True Patient Centricity Must Drive the Accelerated Development of Cures,,Power of Ideas,"Patient-Centered Care, Medical Research, Innovation",Power of Ideas,Future of Health Summit,,,20832418-3b5b-4ff5-b15e-0b339287cb48
Article,https://milkeninstitute.org/articles/addressing-poor-health-addressing-hunger,Addressing Poor Health by Addressing Hunger,,Power of Ideas,"Food Systems, Public Health, Health and Wellness",Power of Ideas,Future of Health Summit,,,431ebd89-c60a-400e-a833-f169287bf9d2
Video,https://milkeninstitute.org/videos/enhancing-financial-health-all-generations,Enhancing Financial Health for All Generations,Center for the Future of Aging,Financial Wellness,"Aging, Retirement, FinTech",,,,,d78b51e9-4cc3-4d89-9330-90c60d37efab
Video,https://milkeninstitute.org/videos/community-colleges,Community Colleges,Center for the Future of Aging,Purposeful Aging,"Education, Job Creation and Workforce Development, Aging, Retirement",,,,,6c95ced8-8b01-4e16-8928-c0271c090b82
Video,https://milkeninstitute.org/videos/lowering-price-and-risk-dementia,Lowering the Price and Risk of Dementia,Center for the Future of Aging,Healthy Longevity,"Brain Health, Aging, Economic and Health Disparities",,,,,26d5f41d-3059-4b1d-aed7-deebd69e605f
Video,https://milkeninstitute.org/videos/power-cities-interview,Power of Cities Interview,Center for the Future of Aging,,"Aging, Housing , Infrastructure",,,,,3d5e9d4c-a38b-4285-a16f-c585b347794f
Video,https://milkeninstitute.org/videos/putting-prevention-first,Putting Prevention First,,,"Public Health, Health and Wellness",,Future of Health Summit,,,dae12bef-3697-4c3a-81c2-a3261e34fc22
Article,https://milkeninstitute.org/articles/fintech-focus-october-7-2019,"FinTech in Focusâ€“October 7, 2019",Center for Financial Markets,FinTech in Focus,"Cryptocurrency, FinTech, Finance",,,,,e01ba31b-c929-452a-9c29-bbf7f1e680e2
Article,https://milkeninstitute.org/articles/fintech-focus-september-30-2019,"FinTech in Focusâ€”September 30, 2019",Center for Financial Markets,FinTech in Focus,"Finance, FinTech, Cryptocurrency",,,,,1f61a1a4-cbcf-44d2-bdce-5061581764ab
Article,https://milkeninstitute.org/articles/how-federal-opportunity-zone-tax-incentive-can-help-california-build-inclusive-economy,How federal â€˜opportunity zoneâ€™ tax incentive can help California build an inclusive economy,Center for Regional Economics and California Center,Opportunity Zones,"Regional Competitiveness, Policy and Regulation, Public-Private Partnerships",,,California,,ab7e5567-476c-4b65-8f52-8a30ae88d1ff
Article,https://milkeninstitute.org/articles/opportunity-zone-workshop-series-opens-mississippi,Opportunity Zone workshop series opens in Mississippi,Center for Financial Markets,Opportunity Zones,"Public-Private Partnerships, Infrastructure",Newsroom,,,,8f821119-cc8a-4b59-90bf-27c70051f42c
Video,https://milkeninstitute.org/videos/redefining-asian-dream,Redefining the Asian Dream,Asia Center,,Economy,,Women Leaders Summit,Asia,,de208b5a-875c-4c59-a9ad-0f48f03cc8a3
Video,https://milkeninstitute.org/videos/brady-dougan-fighting-future-finance,Brady Dougan: Fighting for the Future of Finance,Asia Center,,Finance,,Women Leaders Summit,Asia,,7b1a6465-dd77-47d2-802e-845a846c4b78
Video,https://milkeninstitute.org/videos/farah-pandith-parag-khanna-conversation-fighting-global-security,Farah Pandith & Parag Khanna In Conversation: Fighting For Global Security,Asia Center,,Policy and Regulation,,Asia Summit,Asia,,0e49de92-6b08-490c-b5c6-cb0e45b9aab2
Video,https://milkeninstitute.org/videos/leading-era-disruptive-innovation,Leading in an Era of Disruptive Innovation,Asia Center,,"Technology, Innovation",,Women Leaders Summit,Asia,,e97c0da4-304a-4dea-b9fc-8ad9c1e63e4c
Video,https://milkeninstitute.org/videos/investing-diversity,Investing in Diversity,Asia Center,,"Diversity, Equity, and Inclusion, Finance",,Women Leaders Summit,Asia,,85f2c1aa-2f49-42f0-92dc-4e285bad4e13
Video,https://milkeninstitute.org/videos/jo-ann-jenkins-fighting-against-stereotypes,Jo Ann Jenkins: Fighting Against Stereotypes,"Asia Center, Center for the Future of Aging",,"Aging, Policy and Regulation",,Women Leaders Summit,Asia,,ea452116-2a7b-4a72-a52f-6cac0293f909
Video,https://milkeninstitute.org/videos/helen-clark-fighting-opportunity,Helen Clark: Fighting For Opportunity,Asia Center,,"Diversity, Equity, and Inclusion",,Women Leaders Summit,Asia,,e7d0c007-44e0-4951-8e4f-8f650b23f188
Video,https://milkeninstitute.org/videos/young-leaders-circle-conversation-weijian-shan,Young Leaders Circle: A Conversation with Weijian Shan,Asia Center,,"Finance, Economy",,Asia Summit,"Asia, China",,867a85f3-6aec-44b5-a073-3490722200cd
Video,https://milkeninstitute.org/videos/staying-top-sustaining-corporate-performance,Staying on Top: Sustaining Corporate Performance,Asia Center,,Innovation,,Asia Summit,Asia,,032c1ff0-bf55-4ef5-b71b-72689fd4829c
Video,https://milkeninstitute.org/videos/perfecting-precision-health-personalizing-medicine-all,Perfecting Precision Health: Personalizing Medicine for All,,,"Medical Research, Health and Wellness",,Asia Summit,Asia,,dacd10f0-1b9a-41b3-97c7-0c0f2468840a
Video,https://milkeninstitute.org/videos/global-opportunities-private-equity-0,Global Opportunities in Private Equity,Asia Center,,"Finance, Access to Capital",,Asia Summit,Asia,,b4ef6281-2436-47f8-a082-1f185e110d1b
Video,https://milkeninstitute.org/videos/whats-store-us-election-2020,What's In Store for US Election 2020,Asia Center,,Policy and Regulation,,Asia Summit,,,9809a790-325a-47fe-86bd-3d8dc5edc19f
Video,https://milkeninstitute.org/videos/truce-or-dare-navigating-us-china-relations,Truce or Dare: Navigating US-China Relations,Asia Center,,"Economy, Policy and Regulation",,Asia Summit,China,,6c124387-52ba-4feb-9879-cc6b1900f472
Video,https://milkeninstitute.org/videos/reimagining-financial-services,Reimagining Financial Services,,,"FinTech, Technology, Innovation, Finance",,Asia Summit,,,93f3699b-0421-484a-8982-a496b3f425a9
Video,https://milkeninstitute.org/videos/jobs-future,Jobs of the Future,,,"Job Creation and Workforce Development, Innovation, Technology",,Asia Summit,,,2ef557e6-2b29-4663-a254-a1fbae3b21a7
Video,https://milkeninstitute.org/videos/connectivity-revolution-vision-5g,The Connectivity Revolution: A Vision for 5G,,,"Technology, Innovation, Regional Competitiveness",,Asia Summit,,,15c7f1bc-e30f-47f0-bcad-5d7c6a93bef2
Video,https://milkeninstitute.org/videos/avant-garde-culture-philanthropy-gentrification-and-institutions,"Avant-Garde in Culture: Philanthropy, Gentrification, and Institutions",,,Philanthropy,,Asia Summit,,,4bedf951-55ca-469b-b440-a19812487868
Video,https://milkeninstitute.org/videos/infinity-and-beyond-business-space,To Infinity and Beyond: The Business of Space,,,"Technology, Innovation",,Asia Summit,,,76d6d4e8-bfd0-4540-9c3e-58b5794d4536
Video,https://milkeninstitute.org/videos/reimagining-blockchain,Reimagining the Blockchain,,,"Technology, FinTech, Innovation",,Asia Summit,,,e3634fb2-6cda-405a-a39a-6924f80779d6
Video,https://milkeninstitute.org/videos/open-exchange-future-money,Open Exchange: The Future of Money,,,"FinTech, Finance, Economy",,Asia Summit,,,35bd1e67-b44e-4f01-949e-2b92a5442c0e
Video,https://milkeninstitute.org/videos/finance-era-big-tech,Finance in the Era of Big Tech,,,"Finance, Technology",,Asia Summit,,,07745065-8aba-4b91-a0c5-a773bd369e37
Video,https://milkeninstitute.org/videos/credit-markets-1,Credit Markets,,,"Finance, Economy",,Asia Summit,,,cde1ce7f-2a96-4ff4-86db-ae0e5e4953a6
Video,https://milkeninstitute.org/videos/success-formula-reforming-education-new-economy,The Success Formula: Reforming Education for the New Economy,,,"Education, Job Creation and Workforce Development",,Asia Summit,,,bee438fb-1876-458e-8580-c32f224b2949
Video,https://milkeninstitute.org/videos/family-businesses-sustaining-trust-advantage-complex-world,Family Businesses: Sustaining the Trust Advantage in a Complex World,,,Job Creation and Workforce Development,,Asia Summit,,,e888e3a1-e293-4a2a-91d2-de89d138fb00
Video,https://milkeninstitute.org/videos/securing-cyber-border-national-security-digital-age,Securing the Cyber Border: National Security in a Digital Age,,,"Technology, Policy and Regulation",,Asia Summit,,,a74de3e1-8a92-4632-87fd-a05055d2014e
Video,https://milkeninstitute.org/videos/opportunities-alternative-investments,Opportunities in Alternative Investments,,,"Finance, Economy",,Asia Summit,,,1c17a58e-70a5-4e48-946b-23c9d3ee9992
Video,https://milkeninstitute.org/videos/ai-rebooting-future-humanity,AI: Rebooting the Future of Humanity,,,Technology,,Asia Summit,,,f18bfbaf-297d-4dfd-89e3-7395395bdc78
Video,https://milkeninstitute.org/videos/smarter-philanthropy-longer-term-impact,Smarter Philanthropy for Longer Term Impact,,,Philanthropy,,Asia Summit,,,778fa8d3-9961-4edd-9c1d-d302c0b3b8bf
Video,https://milkeninstitute.org/videos/fighting-fake-news-can-you-handle-truth,Fighting Fake News: Can You Handle The Truth?,,,"Entertainment, Policy and Regulation",,Asia Summit,,,11e81402-f46b-47d3-8a45-3be97ed7ade3
Video,https://milkeninstitute.org/videos/conscientious-capitalism-aligning-impact-profit,Conscientious Capitalism: Aligning Impact with Profit,,,"Philanthropy, Finance",,Asia Summit,,,1c6f0365-c33c-4222-b2d1-ac893e8455a9
Video,https://milkeninstitute.org/videos/strategies-new-demography-linking-healthy-longevity-and-productivity,Strategies for a New Demography: Linking Healthy Longevity and Productivity,,,"Health and Wellness, Mental Health, Aging",,Asia Summit,,,04c62cfd-666b-4879-b646-1b6ef086baad
Video,https://milkeninstitute.org/videos/asias-geopolitical-chessboard-avoiding-checkmate,Asia's Geopolitical Chessboard: Avoiding Checkmate,,,Policy and Regulation,,Asia Summit,,,77e6e862-0520-46d6-8c08-b2ee7fcf2f8e
Video,https://milkeninstitute.org/videos/china-pathways-prosperity-uncertain-era,China: Pathways to Prosperity in an Uncertain Era,,,"Economy, Macroeconomics, Policy and Regulation",,Asia Summit,"Asia, China",,8fa2a28f-5961-42f9-ab64-8918c7e38575
Video,https://milkeninstitute.org/videos/playing-long-game-future-sports-asia,Playing the Long Game: The Future of Sports in Asia,,,Sports,,Asia Summit,Asia,,c2a31523-271c-4952-a4e5-50455c6a8922
Video,https://milkeninstitute.org/videos/spirit-asia-entrepreneurs-building-better-future,The Spirit of Asia: Entrepreneurs Building a Better Future,,,"Access to Capital, Innovation",,Asia Summit,Asia,,d6a589a3-7cec-4d1a-98e4-da2f5972dd87
Video,https://milkeninstitute.org/videos/conversation-arthur-hayes,A Conversation with Arthur Hayes,,,FinTech,,Asia Summit,,,b24bcc21-d6f3-4229-86ad-92e2cbfb2e6c
Video,https://milkeninstitute.org/videos/race-cashless-fintech-asia,The Race to Cashless: FinTech in Asia,,,"FinTech, Innovation, Data Collection and Privacy, Small Business",,Asia Summit,Asia,,b2c5cadc-664e-49f7-9158-48e3ba3c5b0e
Video,https://milkeninstitute.org/videos/reshaping-food-systems-sustainability,Reshaping Food Systems for Sustainability,,Feeding Change,"Food Systems, Energy and Environment, Innovation, Health and Wellness, Public Health",,Asia Summit,,,90fd405c-9acf-4f40-be61-0d173e49cad0
Video,https://milkeninstitute.org/videos/india-ahead-outlook-business-and-finance,India Ahead: The Outlook for Business and Finance,,,"Finance, Economy, Policy and Regulation",,Asia Summit,Asia,,21c8076a-ba3f-4886-b05b-2a516bcc890d
Video,https://milkeninstitute.org/videos/innovation-hubs-revolutionizing-urban-frameworks,Innovation Hubs: Revolutionizing Urban Frameworks,,,"Innovation, Policy and Regulation, Economy, Infrastructure",,Asia Summit,,,b7ebebac-d229-4a81-a126-4852603b1de9
Video,https://milkeninstitute.org/videos/outperformers-case-emerging-markets,The Outperformers: The Case for Emerging Markets,,,"Access to Capital, Emerging and Developing Markets, Policy and Regulation, Economy",,Asia Summit,,,2fab0eb5-1c8d-4b0a-a67f-1ade41d12c94
Video,https://milkeninstitute.org/videos/institutional-investors-stewarding-long-term-assets,Institutional Investors: Stewarding Long-Term Assets,,,Finance,,Asia Summit,,,feddf3fb-4c30-4cfa-b366-75c50a0e32b0
Video,https://milkeninstitute.org/videos/global-overview-2,Global Overview,,,"Economy, Policy and Regulation, Capital Markets",,Asia Summit,Asia,,57e937d1-c229-4174-b255-b86e31bdce36
Article,https://milkeninstitute.org/articles/comment-letter-internal-revenue-service-request-comment-regarding-opportunity-zone,Comment Letter: Internal Revenue Service Request for Comment Regarding the Opportunity Zone Proposed Regulations,Center for Financial Markets,Opportunity Zones,"Access to Capital, Economy, Economic and Health Disparities, Policy and Regulation",Comment Letters,,,,4733009c-cee3-4d8a-a6db-9a16bd8f46ab
Article,https://milkeninstitute.org/articles/turbocharging-opportunity-zones,Turbocharging Opportunity Zones,Center for Financial Markets,Opportunity Zones,"Access to Capital, Policy and Regulation, Economic and Health Disparities",Milken Institute Review,,United States,,aefe8dfc-cac3-48ec-ae89-b7ce0f9cb017
Article,https://milkeninstitute.org/articles/center-future-aging-2019-summer-recap,Center for the Future of Aging 2019 Summer Recap,Center for the Future of Aging,,"Aging, Brain Health",,,,,5d543824-56cb-449e-b518-659be8d173a2
Article,https://milkeninstitute.org/articles/advance-notice-proposed-rulemaking-qualified-mortgage-definition-under-truth-lending-act,Advance Notice of Proposed Rulemaking on the Qualified Mortgage Definition under the Truth in Lending Act (Regulation Z),Center for Financial Markets,,"Finance, Housing ",Comment Letters,,,,f2ddc3d8-a5f0-4590-92a2-ff3d00924d40
Report,https://milkeninstitute.org/reports/rise-fintech-middle-east-analysis-emergence-bahrain-and-united-arab-emirates,The Rise of FinTech in the Middle East: An Analysis of the Emergence of Bahrain and the United Arab Emirates,Center for Financial Markets,,"Finance, FinTech, Policy and Regulation",,,Middle East,,9627a85d-44d7-435d-a71b-978e333f4ea1
Article,https://milkeninstitute.org/articles/milken-institute-asia-summit-explores-asia-crossroads,Milken Institute Asia Summit explores 'Asia at a Crossroads',Asia Center,Power of Ideas,"Finance, Philanthropy, Health and Wellness",Newsroom,Asia Summit,Asia,,f2828415-f37c-4bab-9ff4-75047dff5e72
Report,https://milkeninstitute.org/reports/financing-urban-resiliency-coastal-resiliency-lower-manhattan,Financing Urban Resiliency: Coastal Resiliency in Lower Manhattan,Financial Innovations Labs,Financial Innovations Labs,"Innovative Financing, Energy and Environment",,,United States,,944c842f-23a1-4247-bf10-a46f25ac65bf
Article,https://milkeninstitute.org/articles/city-berkeley-honored-milken-institute-and-scan-foundation-leadership-serving-its-aging,City of Berkeley honored by Milken Institute and The SCAN Foundation for leadership in serving its aging population,Center for the Future of Aging,,"Aging, Health and Wellness",Newsroom,,"California, United States",,0692da8d-9f04-47bd-b2a0-7d911d9dd0ea
Article,https://milkeninstitute.org/articles/former-fda-chief-scott-gottlieb-joins-fastercures-advisory-board,Former FDA chief Scott Gottlieb joins FasterCures Advisory Board,FasterCures,,"Health and Wellness, Medical Research",Newsroom,,,,9d53c9b0-044d-433e-a69d-4ec2a03cf81f
Report,https://milkeninstitute.org/reports/private-equity-ipos-generating-faster-job-growth-and-more-investment,Private Equity IPOs: Generating Faster Job Growth and More Investment,Research Department,,"Finance, Economy, Access to Capital",,,,,d7224b6e-6a02-496f-a51a-fb729e8c2666
Article,https://milkeninstitute.org/articles/harvard-business-reviews-must-reads-2020-features-milken-institutes-paul-irving,Harvard Business Reviewâ€™s Must Reads 2020 features Milken Instituteâ€™s Paul Irving,Center for the Future of Aging,Longevity Economy,"Aging, Economy",Newsroom,,,,49eab534-39ab-462f-928f-9dc78dafdd26
Article,https://milkeninstitute.org/articles/milken-institute-responds-federal-housing-finance-reform-plans,Milken Institute Responds to Federal Housing Finance Reform Plans,Center for Financial Markets,,"Housing , Finance",Newsroom,,,,5bff260f-316e-47b2-a377-0a8bdec7c0fe
Article,https://milkeninstitute.org/articles/canadian-pension-investment-executives-perspective,A Canadian Pension Investment Executiveâ€™s Perspective,Asia Center,Power of Ideas,Economy,Power of Ideas,,,,b8a8c340-a9c6-4811-8ce3-03b7d6678175
Article,https://milkeninstitute.org/articles/it-takes-all-us-winning-war-ideas-against-extremists,It Takes All of Us: Winning the War of Ideas Against the Extremists,Asia Center,Power of Ideas,Technology,Power of Ideas,,,,2494d07e-a2d7-4070-8c1c-a1fbe0493110
Article,https://milkeninstitute.org/articles/asia-remade-reclaiming-its-place-world-stage,Asia Remade: Reclaiming Its Place on the World Stage,,Power of Ideas,Innovation,Power of Ideas,Asia Summit,Asia,,5ea8a04f-90be-41a2-9ad2-e0f929e78c3f
Article,https://milkeninstitute.org/articles/redefining-asia-how-asia-disrupting-aging,Redefining Asia: How Asia Is Disrupting Aging,,Power of Ideas,"Aging, Innovation, Health and Wellness",Power of Ideas,Asia Summit,,,5b8cee4a-a20b-4534-9a37-ac11d172f887
Article,https://milkeninstitute.org/articles/opportunity-crisis,Opportunity in Crisis,,Power of Ideas,"Economy, Policy and Regulation",Power of Ideas,Asia Summit,,,957555e7-026a-4762-8c30-b15d88064057
